pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
150,v,45,1,181,1,,,,,630.4822382090024,631.4775532090025,631.4775532090025,631.4775532090025,631.4775532090025,631.4775532090025,632.4746222089998,632.4746222089998,v,1,0.6168347079983505,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
50,c,45,2,182,2,,,,,633.0994285840025,634.0939555000004,634.0939555000004,634.0939555000004,634.0939555000004,634.0939555000004,635.0917913750018,635.0917913750018,c,1,0.8508428340028331,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-150,z,45,3,183,3,,,,,635.9492599590012,636.9440166250024,636.9440166250024,636.9440166250024,636.9440166250024,636.9440166250024,637.9413775419998,637.9413775419998,z,1,0.5080416669989063,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-50,x,46,0,184,0,,,,,638.4567362920025,639.4446057090026,639.4446057090026,639.4446057090026,639.4446057090026,639.4534038750026,640.4414102090013,640.4414102090013,x,1,0.593091959002777,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
150,v,46,1,185,1,,,,,641.0411387500026,642.034029167,642.034029167,642.034029167,642.034029167,642.0437113340013,643.032776,643.032776,v,1,0.7929605829995126,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
50,c,46,2,186,2,,,,,643.8322850840013,644.827740292003,644.827740292003,644.827740292003,644.827740292003,644.827740292003,645.8248428340012,645.8248428340012,c,1,1.1011233749995881,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-150,z,46,3,187,3,,,,,646.9323020420015,647.9276145840013,647.9276145840013,647.9276145840013,647.9276145840013,647.9276145840013,648.9250857920015,648.9250857920015,z,1,0.7597836249988177,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-50,x,47,0,188,0,,,,,649.6910440000029,650.6831338750017,650.6831338750017,650.6831338750017,650.6831338750017,650.6831338750017,651.682398625002,651.682398625002,x,1,0.6518344579999393,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
150,v,47,1,189,1,,,,,652.3408666249998,653.3329317090029,653.3329317090029,653.3329317090029,653.3329317090029,653.3329317090029,654.3328431670016,654.3328431670016,v,1,0.5685269999994489,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
50,c,47,2,190,2,,,,,654.908032667001,655.899932417,655.899932417,655.899932417,655.899932417,655.899932417,656.8991870000027,656.8991870000027,c,1,0.9264464999978372,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-150,z,47,3,191,3,,,,,657.8334270840023,658.8277518750001,658.8277518750001,658.8277518750001,658.8277518750001,658.8277518750001,659.8238032090012,659.8238032090012,z,1,0.6523788330014213,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-50,x,48,0,192,0,,,,,660.4825622919998,661.4776237500009,661.4776237500009,661.4776237500009,661.4776237500009,661.4776237500009,662.4750601250016,662.4750601250016,x,1,0.6510351249999076,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
150,v,48,1,193,1,,,,,663.1326445420018,664.1272505000015,664.1272505000015,664.1272505000015,664.1272505000015,664.1272505000015,665.1253115,665.1253115,v,1,0.5176156249981432,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
50,c,48,2,194,2,,,,,665.6492433750027,666.6446100840003,666.6446100840003,666.6446100840003,666.6446100840003,666.6446100840003,667.6417960420004,667.6417960420004,c,1,0.6097147910004423,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-150,z,48,3,195,3,,,,,668.2582351250021,669.2670819170016,669.2670819170016,669.2670819170016,669.2670819170016,669.2670819170016,670.2492150420003,670.2492150420003,z,1,0.7430144589998235,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-50,x,49,0,196,0,,,,,670.9992275840013,671.9954722500006,671.9954722500006,671.9954722500006,671.9954722500006,671.9954722500006,672.9909757090027,672.9909757090027,x,1,1.068440458002442,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
150,v,49,1,197,1,,,,,674.0661902089996,675.0612727090011,675.0612727090011,675.0612727090011,675.0612727090011,675.0612727090011,676.0586935419997,676.0586935419997,v,1,1.0844072500003676,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
50,c,49,2,198,2,,,,,677.1499942500013,678.1449285840026,678.1449285840026,678.1449285840026,678.1449285840026,678.1449285840026,679.141927875,679.141927875,c,1,0.8250250829987635,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-150,z,49,3,199,3,,,,,679.9746776250031,680.9638227089999,680.9638227089999,680.9638227089999,680.9638227089999,680.9733982500002,681.9669506669998,681.9669506669998,z,1,0.8015598329984641,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-150,z,,,,,0,0,0,3,682.7811938750019,683.7839346250003,683.7839346250003,683.7839346250003,683.7839346250003,683.8010183750011,684.7660754170029,684.7660754170029,z,1,0.7435313330024655,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
150,v,,,,,0,1,1,1,685.5167108340029,686.5108963340026,686.5108963340026,686.5108963340026,686.5108963340026,686.5108963340026,687.5089360420025,687.5089360420025,v,1,2.566856875000667,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
50,c,,,,,0,2,2,2,690.0838725840003,691.0783653340004,691.0783653340004,691.0783653340004,691.0783653340004,691.0783653340004,692.0759071250031,692.0759071250031,c,1,2.032809084001201,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-50,x,,,,,0,3,3,0,694.1172027089997,695.1112772500019,695.1112772500019,695.1112772500019,695.1112772500019,695.1112772500019,696.108972500002,696.108972500002,x,1,2.4333699169983447,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-150,z,,,,,1,0,4,3,698.5505794170022,699.5442512920017,699.5442512920017,699.5442512920017,699.5442512920017,699.5442512920017,700.542385292003,700.542385292003,z,1,9.49323591600114,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-150,z,,,,,1,1,5,3,710.0418761670007,711.0343656250006,711.0343656250006,711.0343656250006,711.0343656250006,711.043908417003,712.0342077090027,712.0342077090027,z,1,4.992377750000742,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-150,z,,,,,1,2,6,3,717.0341990840025,718.0288018749998,718.0288018749998,718.0288018749998,718.0288018749998,718.0288018749998,719.0259101250012,719.0259101250012,z,1,1.750717833001545,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
50,c,,,,,1,3,7,2,720.7833260000007,721.7780862500003,721.7780862500003,721.7780862500003,721.7780862500003,721.7780862500003,722.7761339589997,722.7761339589997,c,1,3.451600917000178,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
